timestamp,level,currency,divisor
2013-03-15,1000.0,USD,1.0
2013-03-18,995.2367205542726,USD,1.0
2013-03-19,993.5848088273032,USD,1.0
2013-03-20,999.3504618937645,USD,1.0
2013-03-21,992.1975237362074,USD,1.0
2013-03-22,999.1660251475495,USD,1.0
2013-03-25,996.1188093405184,USD,1.0
2013-03-26,1002.2292789325123,USD,1.0
2013-03-27,1002.4377726456248,USD,1.0
2013-03-28,1004.5227097767514,USD,1.0
2013-04-01,1002.2833608791113,USD,1.0
2013-04-02,1006.3843558422743,USD,1.0
2013-04-03,997.3959671538936,USD,1.0
2013-04-04,1001.5608343502159,USD,1.0
2013-04-05,998.0456558562807,USD,1.0
2013-04-08,1003.4548862488873,USD,1.0
2013-04-09,1006.424235649744,USD,1.0
2013-04-10,1016.9775964968918,USD,1.0
2013-04-11,1019.8665480419755,USD,1.0
2013-04-12,1018.0444949341094,USD,1.0
2013-04-15,999.1562541126366,USD,1.0
2013-04-16,1011.0382951347676,USD,1.0
2013-04-17,998.0884071297785,USD,1.0
2013-04-18,993.4846558127396,USD,1.0
2013-04-19,1000.7789740149747,USD,1.0
2013-04-22,1004.4987919354875,USD,1.0
2013-04-23,1012.9903790871492,USD,1.0
2013-04-24,1013.6329716255643,USD,1.0
2013-04-25,1017.6012806202787,USD,1.0
2013-04-26,1015.673272596372,USD,1.0
2013-04-29,1019.9714650332501,USD,1.0
2013-04-30,1021.3485633907094,USD,1.0
2013-05-01,1015.9949944330319,USD,1.0
2013-05-02,1022.2636000355819,USD,1.0
2013-05-03,1027.467978961883,USD,1.0
2013-05-06,1029.158985734338,USD,1.0
2013-05-07,1031.0317435348843,USD,1.0
2013-05-08,1030.9532193305192,USD,1.0
2013-05-09,1031.6694662939976,USD,1.0
2013-05-10,1031.9487862137921,USD,1.0
2013-05-13,1032.5374309772565,USD,1.0
2013-05-14,1040.6490624878033,USD,1.0
2013-05-15,1044.7953394078197,USD,1.0
2013-05-16,1041.9967337808323,USD,1.0
2013-05-17,1047.9987357247887,USD,1.0
2013-05-20,1048.2418187944409,USD,1.0
2013-05-21,1049.2908866626215,USD,1.0
2013-05-22,1045.5330987601121,USD,1.0
2013-05-23,1044.74889434129,USD,1.0
2013-05-24,1044.4908673350085,USD,1.0
2013-05-28,1049.8269221783848,USD,1.0
2013-05-29,1045.1988916732662,USD,1.0
2013-05-30,1048.7628366780284,USD,1.0
2013-05-31,1035.8367777936892,USD,1.0
2013-06-03,1042.8124857857276,USD,1.0
2013-06-04,1038.1767230356722,USD,1.0
2013-06-05,1024.6331451413278,USD,1.0
2013-06-06,1032.8985860227808,USD,1.0
2013-06-07,1045.6257877166395,USD,1.0
2013-06-10,1045.2656700700736,USD,1.0
2013-06-11,1036.7073697945139,USD,1.0
2013-06-12,1029.8582114761941,USD,1.0
2013-06-13,1043.287856741857,USD,1.0
2013-06-14,1037.7743382601961,USD,1.0
2013-06-17,1045.2058156450473,USD,1.0
2013-06-18,1051.2798998871776,USD,1.0
2013-06-19,1039.6104287250537,USD,1.0
2013-06-20,1015.539195292218,USD,1.0
2013-06-21,1019.1947149627983,USD,1.0
2013-06-24,1012.6720071416735,USD,1.0
2013-06-25,1019.9184865446473,USD,1.0
2013-06-26,1026.0738937066433,USD,1.0
2013-06-27,1028.5373869528441,USD,1.0
2013-06-28,1025.2302636678555,USD,1.0
2013-07-01,1031.4322938793835,USD,1.0
2013-07-02,1030.7960882734012,USD,1.0
2013-07-03,1030.9095722961797,USD,1.0
2013-07-05,1036.1069797289263,USD,1.0
2013-07-08,1039.2931745047333,USD,1.0
2013-07-09,1043.0165247733946,USD,1.0
2013-07-10,1043.0442927059964,USD,1.0
2013-07-11,1047.7445191349757,USD,1.0
2013-07-12,1048.9839478259762,USD,1.0
2013-07-15,1049.5505966376318,USD,1.0
2013-07-16,1049.348021994488,USD,1.0
2013-07-17,1050.131301844407,USD,1.0
