timestamp,level,currency,divisor
2022-07-26,2163.4898532662637,USD,1.0
2022-07-27,2198.8182616945605,USD,1.0
2022-07-28,2203.248054328298,USD,1.0
2022-07-29,2214.6867211668637,USD,1.0
2022-08-01,2213.818408230604,USD,1.0
2022-08-02,2216.6453408311945,USD,1.0
2022-08-03,2219.9627874315397,USD,1.0
2022-08-04,2219.8537686922136,USD,1.0
2022-08-05,2220.236313156306,USD,1.0
2022-08-08,2218.132482614441,USD,1.0
2022-08-09,2212.4012537779217,USD,1.0
2022-08-10,2243.7052765185817,USD,1.0
2022-08-11,2242.9994630340207,USD,1.0
2022-08-12,2261.1668811305144,USD,1.0
2022-08-15,2264.637081761227,USD,1.0
2022-08-16,2266.1606300353187,USD,1.0
2022-08-17,2262.0488651234677,USD,1.0
2022-08-18,2268.669383324726,USD,1.0
2022-08-19,2270.7857917489655,USD,1.0
2022-08-22,2235.6573928775792,USD,1.0
2022-08-23,2231.1475018598726,USD,1.0
2022-08-24,2235.8801373830406,USD,1.0
2022-08-25,2262.804733920044,USD,1.0
2022-08-26,2198.4979572641173,USD,1.0
2022-08-29,2184.8796526572964,USD,1.0
2022-08-30,2162.8580690045515,USD,1.0
2022-08-31,2147.4800849330177,USD,1.0
2022-09-01,2153.3550055912965,USD,1.0
2022-09-02,2131.7855973258834,USD,1.0
2022-09-06,2131.758033009507,USD,1.0
2022-09-07,2152.287572283827,USD,1.0
2022-09-08,2157.212890094244,USD,1.0
2022-09-09,2172.021611120509,USD,1.0
2022-09-12,2171.8485625814938,USD,1.0
2022-09-13,2145.4325633945323,USD,1.0
2022-09-14,2154.031832130063,USD,1.0
2022-09-15,2136.2276334471494,USD,1.0
2022-09-16,2122.2038115791333,USD,1.0
2022-09-19,2129.825394483273,USD,1.0
2022-09-20,2119.6402020177693,USD,1.0
2022-09-21,2106.966617872511,USD,1.0
2022-09-22,2096.2967871481706,USD,1.0
2022-09-23,2078.556074911129,USD,1.0
2022-09-26,2069.6703192485293,USD,1.0
2022-09-27,2065.551216856893,USD,1.0
2022-09-28,2088.7705334851116,USD,1.0
2022-09-29,2061.66663286323,USD,1.0
2022-09-30,2037.4410746028273,USD,1.0
2022-10-03,2052.1228604980424,USD,1.0
2022-10-04,2055.4529401716,USD,1.0
2022-10-05,2051.7159320450164,USD,1.0
2022-10-06,2059.831405906985,USD,1.0
2022-10-07,2063.4809514029007,USD,1.0
2022-10-10,2062.7623206303992,USD,1.0
2022-10-11,2061.3752569954663,USD,1.0
2022-10-12,2059.410535770038,USD,1.0
2022-10-13,2083.9785654011716,USD,1.0
2022-10-14,2075.1298964722087,USD,1.0
2022-10-17,2083.1361675502208,USD,1.0
2022-10-18,2080.7693202717455,USD,1.0
2022-10-19,2090.2355323259517,USD,1.0
2022-10-20,2089.057792442682,USD,1.0
2022-10-21,2095.042557571693,USD,1.0
2022-10-24,2096.8024434066624,USD,1.0
2022-10-25,2101.4896358631204,USD,1.0
2022-10-26,2085.442632299511,USD,1.0
2022-10-27,2120.047701209263,USD,1.0
2022-10-28,2076.2794509182286,USD,1.0
2022-10-31,2073.1562262339944,USD,1.0
2022-11-01,2070.8125988882907,USD,1.0
2022-11-02,2043.4736434237607,USD,1.0
2022-11-03,2028.671632653543,USD,1.0
2022-11-04,2048.5291330287614,USD,1.0
2022-11-07,2059.532798735727,USD,1.0
2022-11-08,2070.094033318644,USD,1.0
2022-11-09,2041.7256365634298,USD,1.0
2022-11-10,2115.1082493099398,USD,1.0
