timestamp,level,currency,divisor
2024-06-21,1000.0,USD,1.0
2024-06-24,998.3104075223597,USD,1.0
2024-06-25,1001.1937338157244,USD,1.0
2024-06-26,1002.3966501992618,USD,1.0
2024-06-27,1003.9852344309563,USD,1.0
2024-06-28,1002.2038162751834,USD,1.0
2024-07-01,1004.4535453894329,USD,1.0
2024-07-02,1008.3653192778829,USD,1.0
2024-07-03,1010.6609612311988,USD,1.0
2024-07-05,1013.2045325154727,USD,1.0
2024-07-08,1014.1962498393051,USD,1.0
2024-07-09,1014.6461956621552,USD,1.0
2024-07-10,1018.2916750840207,USD,1.0
2024-07-11,1015.1604194596979,USD,1.0
2024-07-12,1018.6314300931112,USD,1.0
2024-07-15,1019.2282970009735,USD,1.0
2024-07-16,1021.1290885383188,USD,1.0
2024-07-17,1015.2246974343907,USD,1.0
2024-07-18,1011.6343134194046,USD,1.0
2024-07-19,1008.2918587353768,USD,1.0
2024-07-22,1014.646195662155,USD,1.0
2024-07-23,1014.2054324071185,USD,1.0
2024-07-24,999.2562120071258,USD,1.0
2024-07-25,995.8035665093388,USD,1.0
2024-07-26,1004.5637362031921,USD,1.0
2024-07-29,1005.1514205432408,USD,1.0
2024-07-30,1001.671227342014,USD,1.0
2024-07-31,1012.3321885732125,USD,1.0
2024-08-01,1002.4517456061413,USD,1.0
2024-08-02,987.722906833667,USD,1.0
2024-08-05,961.7454224899451,USD,1.0
2024-08-06,972.0758112798663,USD,1.0
2024-08-07,966.0979596334319,USD,1.0
2024-08-08,986.2996088226112,USD,1.0
2024-08-09,991.2490128739602,USD,1.0
2024-08-12,992.1672696552864,USD,1.0
2024-08-13,1005.6748269085967,USD,1.0
2024-08-14,1009.099924702944,USD,1.0
2024-08-15,1020.2291968926193,USD,1.0
2024-08-16,1022.0565278874584,USD,1.0
2024-08-19,1027.2630438375788,USD,1.0
2024-08-20,1026.1060402931075,USD,1.0
2024-08-21,1027.4375126260309,USD,1.0
2024-08-22,1023.6542946869664,USD,1.0
2024-08-23,1029.8708930965456,USD,1.0
2024-08-26,1029.5495032230813,USD,1.0
2024-08-27,1030.761602174432,USD,1.0
2024-08-28,1027.657894253549,USD,1.0
2024-08-29,1029.1362876714845,USD,1.0
2024-08-30,1034.3428036216048,USD,1.0
2024-09-03,1022.7727681768932,USD,1.0
2024-09-04,1021.8177811243138,USD,1.0
2024-09-05,1020.8811592073608,USD,1.0
2024-09-06,1006.9328386990139,USD,1.0
2024-09-09,1017.4836091164533,USD,1.0
2024-09-10,1021.1566362417587,USD,1.0
2024-09-11,1029.218930781804,USD,1.0
2024-09-12,1035.1416870213588,USD,1.0
2024-09-13,1038.43822886632,USD,1.0
2024-09-16,1039.264659969514,USD,1.0
2024-09-17,1039.4207636223393,USD,1.0
2024-09-18,1040.6695928449433,USD,1.0
2024-09-19,1043.9844998255312,USD,1.0
2024-09-20,1047.854974512205,USD,1.0
2024-09-23,1049.9018183691494,USD,1.0
2024-09-24,1051.893342121852,USD,1.0
2024-09-25,1050.3904792899514,USD,1.0
2024-09-26,1052.2990228862914,USD,1.0
2024-09-27,1050.9068002628744,USD,1.0
2024-09-30,1053.7557856313238,USD,1.0
2024-10-01,1047.9563947033153,USD,1.0
